,JOIN,doubleheader,temperature_fahrenheit,season_game_number,days_since_last_game,pitches_p,ba_p,iso_p,babip_p,slg_p,woba_p,xwoba_p,xba_p,hits_p,abs_p,launch_speed_p,launch_angle_p,spin_rate_p,velocity_p,effective_speed_p,whiffs_p,swings_p,takes_p,eff_min_vel_p,release_extension_p,pitcher_run_exp_p,run_exp_p,pitches_h,ba_h,iso_h,babip_h,slg_h,woba_h,xwoba_h,xba_h,hits_h,abs_h,launch_speed_h,launch_angle_h,spin_rate_h,velocity_h,effective_speed_h,whiffs_h,swings_h,takes_h,eff_min_vel_h,release_extension_h,pitcher_run_exp_h,run_exp_h,duration,score,opp_score,opp_ScoreLine,winLoss_numeric
621,45038PHIDH0,0,78,22,1.0,142,0.257,0.057,0.36,0.314,0.265,0.291,0.263,9,35,90.3,7.9,2183,89.7,90.4,20,72,70,0.7000000000000028,6.87,3.1,-3.1,125,0.226,0.387,0.222,0.613,0.353,0.303,0.215,7,31,90.3,6.7,2325,87.3,87.49,16,57,68,0.2000000000000028,6.45,-0.4,0.4,146,4,3,001110000,1
622,45038AZDH0,0,93,22,1.0,146,0.188,0.125,0.25,0.313,0.288,0.273,0.18,6,32,85.3,5.1,2355,89.0,89.14,21,62,84,0.1,6.28,-0.3,0.3,141,0.257,0.114,0.296,0.371,0.282,0.236,0.225,9,35,85.7,9.0,2408,89.2,89.43,14,64,77,0.2000000000000028,6.4,1.8,-1.8,168,3,5,200002010,0
623,45038SDDH0,0,93,23,1.0,141,0.257,0.114,0.296,0.371,0.282,0.236,0.225,9,35,85.7,9.0,2408,89.2,89.43,14,64,77,0.2000000000000028,6.4,1.8,-1.8,146,0.188,0.125,0.25,0.313,0.288,0.273,0.18,6,32,85.3,5.1,2355,89.0,89.14,21,62,84,0.1,6.28,-0.3,0.3,168,5,3,102000000,1
624,45038SEADH0,0,59,21,1.0,151,0.257,0.143,0.421,0.4,0.313,0.284,0.212,9,35,92.8,22.4,2257,91.1,90.47,25,75,76,-0.6,5.95,0.9,-0.9,134,0.226,0.258,0.227,0.484,0.33,0.336,0.265,7,31,88.8,13.6,2294,86.9,86.97,11,63,71,0.1,6.4,-0.6,0.6,149,5,4,102000001,1
625,45038STLDH0,0,59,21,1.0,134,0.226,0.258,0.227,0.484,0.33,0.336,0.265,7,31,88.8,13.6,2294,86.9,86.97,11,63,71,0.1,6.4,-0.6,0.6,151,0.257,0.143,0.421,0.4,0.313,0.284,0.212,9,35,92.8,22.4,2257,91.1,90.47,25,75,76,-0.6,5.95,0.9,-0.9,149,4,5,01000220x,0
626,45038NYMDH0,0,66,22,1.0,149,0.226,0.226,0.263,0.452,0.322,0.363,0.243,7,31,89.4,17.0,2145,89.3,90.25,24,71,78,1.0,6.76,-2.5,2.5,135,0.286,0.114,0.36,0.4,0.306,0.259,0.213,10,35,87.5,-3.8,2083,91.0,92.04,8,57,78,1.0,6.74,1.1,-1.1,155,4,7,42001000x,0
627,45038SFDH0,0,66,20,1.0,135,0.286,0.114,0.36,0.4,0.306,0.259,0.213,10,35,87.5,-3.8,2083,91.0,92.04,8,57,78,1.0,6.74,1.1,-1.1,149,0.226,0.226,0.263,0.452,0.322,0.363,0.243,7,31,89.4,17.0,2145,89.3,90.25,24,71,78,1.0,6.76,-2.5,2.5,155,7,4,011000011,1
628,45038CWSDH0,0,72,21,1.0,171,0.25,0.139,0.333,0.389,0.294,0.256,0.234,9,36,84.7,5.0,2551,90.9,90.64,26,84,87,-0.3,6.27,0.9,-0.9,145,0.143,0.257,0.118,0.4,0.248,0.221,0.138,5,35,84.8,5.8,2253,88.9,89.63,42,75,70,0.6999999999999886,6.86,2.9,-2.9,173,3,4,2000100001,0
629,45038TBDH0,0,72,21,1.0,145,0.143,0.257,0.118,0.4,0.248,0.221,0.138,5,35,84.8,5.8,2253,88.9,89.63,42,75,70,0.6999999999999886,6.86,2.9,-2.9,171,0.25,0.139,0.333,0.389,0.294,0.256,0.234,9,36,84.7,5.0,2551,90.9,90.64,26,84,87,-0.3,6.27,0.9,-0.9,173,4,3,0100100100,1
630,45038OAKDH0,0,74,21,1.0,197,0.429,0.381,0.438,0.81,0.549,0.444,0.321,18,42,94.1,11.2,1765,86.2,86.04,14,83,114,-0.2,6.28,-12.6,12.6,144,0.226,0.161,0.273,0.387,0.302,0.27,0.198,7,31,87.7,16.0,2289,89.8,89.81,21,77,67,0.0,6.48,0.8,-0.8,165,3,18,25402032x,0
